SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State
11430,11431.0,TX-00308,CRYSTAL BEACH,77560.0,GALVESTON,237324.0,204274.0,33050.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CRYSTAL BEACH,77650.0,GALVESTON,43888296.0,36575298.0,7312998.0,9988900.0,7951600.0,1666100.0,347600.0,2008,Texas
11430,11431.0,TX-00308,Crystal Beach,77650.0,GALVESTON,387080.0,340119.0,46961.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CYPRESS,77410.0,HARRIS,18463.0,18463.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CYPRESS,77429.0,HARRIS,522390.0,413094.0,109296.0,88700.0,88200.0,500.0,0.0,2008,Texas
11430,11431.0,TX-00308,CYPRESS,77433.0,HARRIS,112303.0,109253.0,3050.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Cypress,77429.0,HARRIS,2200.0,0.0,2200.0,27100.0,0.0,0.0,27100.0,2008,Texas
11430,11431.0,TX-00308,DANBURY,77534.0,BRAZORIA,5393.0,5393.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,DAYTON,77535.0,CHAMBERS,109889.0,100389.0,9500.0,153200.0,100400.0,9500.0,43300.0,2008,Texas
11430,11431.0,TX-00308,DAYTON,77000.0,LIBERTY,58212.0,58212.0,0.0,58300.0,58300.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,DAYTON,77535.0,LIBERTY,742459.0,670892.0,71567.0,136900.0,136100.0,800.0,0.0,2008,Texas
11430,11431.0,TX-00308,DEER PARK,77536.0,HARRIS,421507.0,257386.0,164121.0,372400.0,187000.0,90200.0,95200.0,2008,Texas
11430,11431.0,TX-00308,DEVERS,77538.0,LIBERTY,8995.0,7495.0,1500.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,DEWEYVILLE,77614.0,NEWTON,9001.0,9001.0,0.0,9100.0,9100.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,DIBOLL,75941.0,ANGELINA,154159.0,153606.0,553.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,DICKINSON,77539.0,GALVESTON,3661086.0,2788386.0,872700.0,895100.0,552700.0,109800.0,232600.0,2008,Texas
11430,11431.0,TX-00308,DICKINSON,77546.0,GALVESTON,22220.0,17420.0,4800.0,62200.0,17500.0,4800.0,39900.0,2008,Texas
11430,11431.0,TX-00308,Dickinson,77539.0,GALVESTON,56879.0,55404.0,1475.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,EL LAGO,77586.0,GALVESTON,252739.0,56994.0,195745.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,EL LAGO,77586.0,HARRIS,20773862.0,20636942.0,136920.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,FANNETT,77705.0,JEFFERSON,45466.0,33366.0,12100.0,45500.0,33400.0,12100.0,0.0,2008,Texas
11430,11431.0,TX-00308,FREEPORT,77541.0,BRAZORIA,5642691.0,4597914.0,1044777.0,3365500.0,2520300.0,625700.0,115000.0,2008,Texas
11430,11431.0,TX-00308,FREEPORT,77542.0,BRAZORIA,1235914.0,1094511.0,141403.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,FREEPORT,77578.0,BRAZORIA,79900.0,73120.0,6780.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,FRESNO,77545.0,FORT BEND,106077.0,90341.0,15736.0,22100.0,21900.0,0.0,200.0,2008,Texas
11430,11431.0,TX-00308,FRIENDSWOOD,77546.0,BRAZORIA,119949.0,55749.0,64200.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,FRIENDSWOOD,77546.0,GALVESTON,729824.0,564755.0,165069.0,106900.0,34000.0,41700.0,31200.0,2008,Texas
11430,11431.0,TX-00308,Friendswood,77546.0,GALVESTON,56552.0,35636.0,20916.0,65800.0,35700.0,20900.0,9200.0,2008,Texas
11430,11431.0,TX-00308,FRIENDSWOOD,77546.0,HARRIS,161040.0,134395.0,26645.0,30600.0,14700.0,15900.0,0.0,2008,Texas
11430,11431.0,TX-00308,Friendswood,77546.0,HARRIS,14650.0,0.0,14650.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,FULSHEAR,77441.0,FORT BEND,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,2008,Texas
